,Video_ID,Title,Published_Date,View_count,Like_count,Comment_count,Duration,Defintion,Caption,Month,Year,Weekday,LikeRatio,Videos_with_Mill,url
0,gS2XwsIFVs0,"NEW Ariel Hipercar – 1180bhp, 0-60mph In 2secs + Jet Engine?!  | Top Gear",2022-09-20,905786,15813,2044,PT15M24S,hd,false,9,2022,Tuesday,1.75,0,https://www.youtube.com/watch?v=gS2XwsIFVs0
1,8PRpzPY7YwQ,FIRST LOOK: Ferrari Purosangue – £300k+ 4x4 with 715bhp V12 and electric doors | Top Gear,2022-09-13,1665669,27459,4213,PT16M43S,hd,false,9,2022,Tuesday,1.65,1,https://www.youtube.com/watch?v=8PRpzPY7YwQ
2,FCeqP91QUdI,FIRST DRIVE: Hyundai N Vision 74 &amp; RN22e | 670bhp Hydrogen Hybrid Drift Car And Electric Streamliner,2022-09-08,2948743,81795,6639,PT14M2S,hd,false,9,2022,Thursday,2.77,1,https://www.youtube.com/watch?v=FCeqP91QUdI
3,odlTwTrh6Xs,Behind The Scenes: Chris Harris Drives The AMG One At The Nurburgring | Top Gear,2022-08-24,609905,11779,1272,PT17M12S,hd,false,8,2022,Wednesday,1.93,0,https://www.youtube.com/watch?v=odlTwTrh6Xs
4,bgPuHnxu2eE,FIRST LOOK: McLaren Solus GT – £2.75m V10 Gran Turismo Hypercar Made Real! | Top Gear,2022-08-23,394179,8278,728,PT17M1S,hd,false,8,2022,Tuesday,2.1,0,https://www.youtube.com/watch?v=bgPuHnxu2eE
5,KMnB0uVKdJ4,The Brand New Porsche 911 GT3 RS | Top Gear Shorts,2022-08-18,51577,1548,82,PT1M20S,hd,false,8,2022,Thursday,3.0,0,https://www.youtube.com/watch?v=KMnB0uVKdJ4
6,CE-ZCQdpqeg,"FIRST LOOK: New Porsche 911 GT3 RS (992) - 518bhp, £195k and DRS! | Top Gear",2022-08-17,1053488,21270,1434,PT34M35S,hd,false,8,2022,Wednesday,2.02,1,https://www.youtube.com/watch?v=CE-ZCQdpqeg
7,oh143tOr79Q,Driving the Lamborghini Countach Up the Stelvio Pass | Top Gear #Shorts,2022-08-12,73945,3007,108,PT56S,hd,false,8,2022,Friday,4.07,0,https://www.youtube.com/watch?v=oh143tOr79Q
8,J9kSzik0u9k,Ferrari Test Track Electric Lap Record - The Ultimate Toy Car vs Fiorano | Top Gear,2022-08-11,150064,3359,230,PT16M38S,hd,false,8,2022,Thursday,2.24,0,https://www.youtube.com/watch?v=J9kSzik0u9k
9,Bn8NgdiHfgg,Driving The Ultimate School Bus Up An Active Volcano | Top Gear,2022-08-07,528133,12621,461,PT9M16S,hd,false,8,2022,Sunday,2.39,0,https://www.youtube.com/watch?v=Bn8NgdiHfgg
10,ODZDbqq_N2k,Sebastian Vettel&#39;s Silverstone Lap | Series 31 | Top Gear Shorts,2022-08-05,94400,1572,55,PT1M,hd,false,8,2022,Friday,1.67,0,https://www.youtube.com/watch?v=ODZDbqq_N2k
11,DPdsWOLx_bo,"FIRST DRIVE: NEW Ferrari Daytona SP3 - £2m, 828bhp N/A V12 Hypercar | Top Gear",2022-07-31,2191999,37392,2955,PT14M51S,hd,false,7,2022,Sunday,1.71,1,https://www.youtube.com/watch?v=DPdsWOLx_bo
12,d417WWwO0qo,The 1817bhp Hennessey Venom F5 🤯 | Top Gear #Shorts,2022-07-26,87690,3435,129,PT37S,hd,false,7,2022,Tuesday,3.92,0,https://www.youtube.com/watch?v=d417WWwO0qo
13,H29JO52_Bw4,Chris Harris On… Maserati | Top Gear,2022-07-18,257682,4780,379,PT9M49S,hd,false,7,2022,Monday,1.85,0,https://www.youtube.com/watch?v=H29JO52_Bw4
14,bErpx1sFao4,"Audi e-tron GT Review: 0-60mph, ¼ Mile, Tech, Ride, Handling | Top Gear Tested",2022-07-16,138091,2578,181,PT12M51S,hd,false,7,2022,Saturday,1.87,0,https://www.youtube.com/watch?v=bErpx1sFao4
15,SQyYXy_HMGY,BMW M’s Secret CSLs You’ve Never Seen Before – Part 2: V10 E60 M5 CSL + V10 E63 M6 CSL | Top Gear,2022-07-12,175772,4436,174,PT5M56S,hd,false,7,2022,Tuesday,2.52,0,https://www.youtube.com/watch?v=SQyYXy_HMGY
16,cfnyE4Lfe54,Chris Harris On… The Ford Puma Hybrid Rally1 | Top Gear,2022-07-11,82427,2229,82,PT7M10S,hd,false,7,2022,Monday,2.7,0,https://www.youtube.com/watch?v=cfnyE4Lfe54
17,QLX8A_ZDCvY,"Ford Mustang Mach-E Review: Interior, Price, Range &amp; 0-60mph Test | Top Gear Tested",2022-07-10,71055,1546,228,PT13M40S,hd,false,7,2022,Sunday,2.18,0,https://www.youtube.com/watch?v=QLX8A_ZDCvY
18,dKzyDuJ0Oqo,FIRST DRIVE: Lamborghini Countach - £2.2m Reborn Supercar Tested On The Stelvio Pass | Top Gear,2022-07-06,2045879,45383,4169,PT15M31S,hd,false,7,2022,Wednesday,2.22,1,https://www.youtube.com/watch?v=dKzyDuJ0Oqo
19,bOUjXNheBZA,Supercars Running On Synthetic Fuels - How Does It Work?  | Top Gear Series 32,2022-07-02,192937,5425,593,PT2M25S,hd,false,7,2022,Saturday,2.81,0,https://www.youtube.com/watch?v=bOUjXNheBZA
20,-GdyZOu_h5Y,FIRST LOOK: Prodrive P25 – £552k Subaru Impreza 22B Restomod | Top Gear,2022-07-01,329976,7973,848,PT12M37S,hd,false,7,2022,Friday,2.42,0,https://www.youtube.com/watch?v=-GdyZOu_h5Y
21,-NnTWxIPHzA,Chris Harris Drives The 500bhp Ford Puma Hybrid Rally1 | Top Gear Series 32,2022-06-30,183108,3298,200,PT1M53S,hd,false,6,2022,Thursday,1.8,0,https://www.youtube.com/watch?v=-NnTWxIPHzA
22,KU4MEg7DH7Q,FIRST LOOK: Hyundai Ioniq 6 – Is This Tesla Rival Ugly or Awesome? | Top Gear,2022-06-28,328546,6562,1154,PT20M43S,hd,false,6,2022,Tuesday,2.0,0,https://www.youtube.com/watch?v=KU4MEg7DH7Q
23,0n6QuPWHL_Y,Maserati MC20 Stig Lap: Full Send In The Wet | Top Gear Series 32,2022-06-27,70096,1921,123,PT1M43S,hd,false,6,2022,Monday,2.74,0,https://www.youtube.com/watch?v=0n6QuPWHL_Y
24,E1c0zH9vcPk,Welcome Back Maserati! 🙌,2022-06-25,80732,3664,85,PT30S,hd,false,6,2022,Saturday,4.54,0,https://www.youtube.com/watch?v=E1c0zH9vcPk
25,V974ZSu59mA,Chris Harris Drives The All-New Maserati MC20 | Top Gear Series 32,2022-06-24,191552,4842,322,PT2M37S,hd,false,6,2022,Friday,2.53,0,https://www.youtube.com/watch?v=V974ZSu59mA
26,UqFH8zAlFRU,FIRST LOOK: BMW M3 Touring - First Ever Official M3 Estate Car | Top Gear,2022-06-21,373573,8700,743,PT6M18S,hd,false,6,2022,Tuesday,2.33,0,https://www.youtube.com/watch?v=UqFH8zAlFRU
27,nPTdGBgW4D8,Behold the Baja Miata: Desert Racer Mazda MX-5 On 27-Inch Knobblies | American Tuned ft. Rob Dahm,2022-06-17,77129,2756,144,PT9M1S,hd,false,6,2022,Friday,3.57,0,https://www.youtube.com/watch?v=nPTdGBgW4D8
28,8o9h3n-VTx0,FIRST DRIVE: NEW McLaren Artura – 671bhp Hybrid Ferrari 296 GTB Rival? | Top Gear,2022-06-14,440944,9687,830,PT15M57S,hd,false,6,2022,Tuesday,2.2,0,https://www.youtube.com/watch?v=8o9h3n-VTx0
29,XRZqzQl22jI,SUPRA SHOOTOUT: A80 vs A90 On The Top Gear Test Track | Stig&#39;s Garage ft. Becky Evans,2022-06-14,88294,2465,423,PT8M32S,hd,true,6,2022,Tuesday,2.79,0,https://www.youtube.com/watch?v=XRZqzQl22jI
30,pNJokoum5aY,BMW M’s Secret CSLs You’ve Never Seen Before – Part 1: V8 E46 M3 CSL + M2 CSL | Top Gear,2022-06-13,392404,10558,472,PT10M40S,hd,false,6,2022,Monday,2.69,0,https://www.youtube.com/watch?v=pNJokoum5aY
31,8ZC80gOsGzU,Top Gear&#39;s Cop Car Chase | Sunday 8pm on BBC One and BBC iPlayer,2022-06-11,50670,1263,71,PT1M57S,hd,false,6,2022,Saturday,2.49,0,https://www.youtube.com/watch?v=8ZC80gOsGzU
32,6-whKiFobys,F1-Inspired Hot Rod With A Honda S2000 VTEC Engine | Top Gear American Tuned ft. Rob Dahm,2022-06-10,1562213,34968,1222,PT10M1S,hd,true,6,2022,Friday,2.24,1,https://www.youtube.com/watch?v=6-whKiFobys
33,sod5to7mll4,SPORTS CARS: N/A Porsche 718 Cayman GTS vs Turbo Audi TT RS | Stig&#39;s Garage ft. Becky Evans,2022-06-07,71965,2059,228,PT8M19S,hd,true,6,2022,Tuesday,2.86,0,https://www.youtube.com/watch?v=sod5to7mll4
34,Lyl-Yt7PBPo,FIRST LOOK: Mercedes-AMG One - 1063hp Hypercar With F1 Engine Is FINALLY Finished! | Top Gear,2022-05-31,2131797,43215,4075,PT20M9S,hd,false,5,2022,Tuesday,2.03,1,https://www.youtube.com/watch?v=Lyl-Yt7PBPo
